Name,Platform,Token utility,Technicality,Token distributions,Use_of_funds,Lockup,Vesting,Risk,Governance,team_bio,team_tech,team_market,team_size,advisor_size,advisor_tech,Basics ,Application
Debitum Network,0,1,0,,,,,,,,,,,,,3,2
DecentBet,0,2,0,,,,,,,,,,,,,1,NA
Deex,,,,,,,,,,,,,,,,1,2
Denaro,0,1,0,,,,,,,,,,,,,1,2
Dether,0,1,1,,,,,,,,,,,,,1,2
Devery,0,2,2,,,,,,,,,,,,,3,1
Digital Ticks,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,3,2
DIMCOIN,,,,,,,,,,,,,,,,1,2
Districts,,,,,,,,,,,,,,,,3,NA
DitCoin,,,,,,,,,,,,,,,,1,2
Dmarket,,,,,,,,,,,,,,,,3,3
DML,,,,,,,,,,,,,,,,3,NA
Doc.ai,,,,,,,,,,,,,,,,3,NA
Dock.io,,,,,,,,,,,,,,,,3,4
DomRaider,,,,,,,,,,,,,,,,3,3
Dragonchain,,,,,,,,,,,,,,,,0,NA
Earth Token,0,0,0,,,,,,,,,,,,,1,3
EchoLink,0,2,1,,,,,,,,,,,,,1,4
Effect.AI,0,2,2,,,,,,,,,,,,,3,NA
Eidoo,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,1,NA
Elastos,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1
Electrify,0,1,0,,,,,,,,,,,,,2,3
Electroneum,,,,,,,,,,,,,,,,1,NA
Eligma,0,2,0,,,,,,,,,,,,,3,3
Endor,2,2,2,,,,,,,,,,,,,3,NA
energiToken,0,1,0,1,0,0,0,0,0,3,1,2,6,9,1,2,3
Enigma,1,2,2,,,,,,,,,,,,,3,4
Enjin Coin,0,1,0,,,,,,,,,,,,,1,3
Ether PARTY,0,2,0,,,,,,,,,,,,,3,1
etherecash,0,2,0,,,,,,,,,,,,,1,2
Ethereum,,,,,,,,,,,,,,,,0,NA
ETHLend,0,2,1,,,,,,,,,,,,,1,2
Eventchain,0,2,0,,,,,,,,,,,,,1,3
Everex,0,2,2,,,,,,,,,,,,,3,2
EZPOS,0,1,1,1,1,0,0,1,0,3,1,2,5,4,0,3,3
Faceter,0,1,0,,,,,,,,,,,,,3,3
Finom,0,0,1,,,,,,,,,,,,,1,2
Finshi Capital,0,0,0,,,,,,,,,,,,,2,2
Fintrux,0,1,0,,,,,,,,,,,,,2,2
Fluz Fluz,0,0,0,,,,,,,,,,,,,3,2
FortKnoxster,0,1,1,,,,,,,,,,,,,3,4
Fortuna,1,2,1,,,,,,,,,,,,,1,2
Friendz,0,1,0,1,1,1,1,1,1,3,1,2,15,0,0,3,4
Funfair,0,2,1,1,0,1,1,1,0,3,1,2,2,0,0,1,3
Fusion,,,,,,,,,,,,,,,,2,2
FuzeX,,,,,,,,,,,,,,,,1,2
Galaxy eSolutions,0,1,0,1,1,0,1,1,1,3,2,2,8,10,1,1,3
Gameflip,0,1,0,1,1,0,0,0,1,3,1,2,7,11,1,1,3
GAT Coin,0,1,1,1,1,0,0,1,0,3,1,1,9,7,0,3,3
GBX,,,,,,,,,,,,,,,,3,2
Gifto,,,,,,,,,,,,,,,,1,3
Giga Watt,,,,,,,,,,,,,,,,2,3
Gladius Token,0,2,0,,,,,,,,,,,,,3,4
Global Cryptocurrency,0,1,0,,,,,,,,,,,,,1,NA
Globitex,0,1,1,1,1,1,0,1,1,3,1,1,4,8,1,1,2
Gnosis,0,2,1,1,0,1,1,0,0,3,2,0,3,6,1,3,2
GoChain,0,0,1,,,,,,,,,,,,,1,NA
Grain,0,2,0,,,,,,,,,,,,,1,1
GreenMed,0,1,0,,,,,,,,,,,,,1,NA
Gridplus,0,2,1,,,,,,,,,,,,,1,3
Havven,,,,,,,,,,,,,,,,1,NA
Hdac,0,2,2,,,,,,,,,,,,,1,3
Healthureum,0,1,0,,,,,,,,,,,,,3,4
Helbiz,0,1,0,1,1,1,1,0,0,3,2,1,8,4,1,1,3
Hero Node,1,0,1,,,,,,,,,,,,,0,NA
HOLD,0,1,0,1,1,1,0,1,0,3,2,2,13,11,1,1,2
Holo,0,0,1,,,,,,,,,,,,,0,NA
HOQU,0,0,0,,,,,,,,,,,,,1,4
HoToken,0,0,1,0,0,0,0,1,1,3,1,2,11,6,1,3,4
Hurify,0,1,1,,,,,,,,,,,,,3,3
HYCON,1,NA,1,,,,,,,,,,,,,1,NA
Hydro Protocol,0,0,0,,,,,,,,,,,,,1,2
ICOBox,0,1,0,1,0,0,0,1,0,2,1,1,17,0,0,1,3
ICON,,,,,,,,,,,,,,,,3,2
Iconomi,,,,,,,,,,,,,,,,NA,2
iExec RLC,0,2,1,1,1,0,0,0,0,3,2,1,10,0,0,0,NA
Ignis,,,,,,,,,,,,,,,,1,3
IHT Real Estate Protocol,,,,,,,,,,,,,,,,1,4
ILCOIN,,,,,,,,,,,,,,,,1,NA
indaHash,,,,,,,,,,,,,,,,3,4
Ink Protocol,,,,,,,,,,,,,,,,1,3
INS Ecosystem,0,2,1,,,,,,,,,,,,,1,3
Insights Network,0,2,0,,,,,,,,,,,,,1,4
Insurepal,0,1,0,1,0,0,0,1,0,3,1,2,7,8,1,1,3
intimate,,,,,,,,,,,,,,,,1,3
Invacio,0,2,1,,,,,,,,,,,,,3,3
IUNGO,0,1,1,,,,,,,,,,,,,3,3
Jet8,0,1,0,1,0,1,0,0,1,2,1,1,32,29,1,1,4
jibrel Network,0,2,2,,,,,,,,,,,,,2,2
Karma,0,1,0,,,,,,,,,,,,,3,3
KickCoin,0,1,0,0,1,0,0,1,0,2,0,0,6,0,0,1,2
Kin,0,1,0,1,0,0,1,0,1,3,1,2,20,7,0,3,4
Kind Ads System,0,1,0,,,,,,,,,,,,,1,4
Kyber Network,0,2,1,0,1,0,0,1,0,3,2,0,4,5,1,1,NA
KYC.LEGAL,0,2,0,,,,,,,,,,,,,3,1
LaLa World,0,2,0,,,,,,,,,,,,,1,2
Lamden,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
Lampix,0,1,1,,,,,,,,,,,,,1,NA
LatiumX,0,0,0,,,,,,,,,,,,,1,3
LAToken,0,2,1,0,0,0,0,1,0,3,0,1,4,0,0,1,2
Leadcoin,0,1,0,,,,,,,,,,,,,1,4
Legolas Exchange,0,0,1,,,,,,,,,,,,,3,2
Lendroid Support Token,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,3,2
Leverj,0,0,0,,,,,,,,,,,,,1,2
LHCrypto,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,2
Libra Credit,0,1,1,,,,,,,,,,,,,3,2
LinkerCoin,0,1,1,,,,,,,,,,,,,3,2
LocalCoinSwap,0,1,0,1,1,1,0,1,0,3,1,1,6,0,0,3,2
Loopring,,,,,,,,,,,,,,,,1,2
Luna Coin,,,,,,,,,,,,,,,,3,4
Lydian,,,,,,,,,,,,,,,,1,4
Lympo,,,,,,,,,,,,,,,,3,4
Maecenas,,,,,,,,,,,,,,,,1,3
Matrix AI Network,,,,,,,,,,,,,,,,1,NA
MediBloc,,,,,,,,,,,,,,,,1,4
Medicalchain,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,3,4
Mercury Protocol,0,2,0,0,0,0,0,0,1,1,1,0,15,2,1,3,4
Micromoney,,,,,,,,,,,,,,,,1,2
MobileGo,0,1,1,1,1,0,0,1,0,3,2,0,6,0,0,1,3
Mobius,1,1,2,,,,,,,,,,,,,1,NA
ModulTrade,0,2,1,,,,,,,,,,,,,1,3
modum,0,0,0,,,,,,,,,,,,,3,4
Moeda,0,2,0,,,,,,,,,,,,,3,2
Monaco,0,0,0,,,,,,,,,,,,,1,NA
Monetha,0,0,0,0,1,0,1,1,1,3,1,2,10,5,1,1,NA
MoneyToken,0,2,1,,,,,,,,,,,,,NA,2
Morpheus Infrastructure Token,,,,,,,,,,,,,,,,1,NA
Mysterium,0,2,1,,,,,,,,,,,,,3,NA
Naga Group,0,1,1,0,0,0,0,1,0,3,1,1,27,4,1,1,3
NapoleonX,,,,,,,,,,,,,,,,3,2
Narrative,,,,,,,,,,,,,,,,1,4
Nebulas,,,,,,,,,,,,,,,,NA,4
Neufund,1,1,2,1,0,0,0,1,1,3,2,1,3,9,1,1,2
Neuromation,,,,,,,,,,,,,,,,3,4
NEXO,,,,,,,,,,,,,,,,3,2
Nimiq,,,,,,,,,,,,,,,,1,NA
