Name,Platform,Token utility,Technicality,Token distributions,Use_of_funds,Lockup,Vesting,Risk,Governance,team_bio,team_tech,team_market,team_size,advisor_size,advisor_tech,Basics ,Application
Coss,,,,,,,,,,,,,,,,1,NA
Crazybet,,,,,,,,,,,,,,,,1,3
CREDEROOM,,,,,,,,,,,,,,,,3,2
Crowdholding,,,,,,,,,,,,,,,,0,3
CrowdWiz,,,,,,,,,,,,,,,,3,2
Crypto Credit Card,,,,,,,,,,,,,,,,1,2
Cryptonia Poker,,,,,,,,,,,,,,,,1,3
Cryptoping,,,,,,,,,,,,,,,,3,2
Crypviser,,,,,,,,,,,,,,,,3,1
DA Powerplay,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
daneel,,,,,,,,,,,,,,,,3,3
Dank Signals,,,,,,,,,,,,,,,,3,3
DAO PlayMarket 2,,,,,,,,,,,,,,,,1,3
Datum,,,,,,,,,,,,,,,,3,4
DCORP,0,1,0,0,1,0,1,0,1,3,1,0,9,0,0,NA,NA
Debit Coin,,,,,,,,,,,,,,,,1,2
Decent,,,,,,,,,,,,,,,,3,4
Deex Exchange,,,,,,,,,,,,,,,,3,2
Dent,,,,,,,,,,,,,,,,3,4
DFinity,,,,,,,,,,,,,,,,NA,NA
Digipulse,,,,,,,,,,,,,,,,1,NA
Digitex,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,3,2
DigixDAO,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
Dimpay,,,,,,,,,,,,,,,,1,2
Dinnerful Network,0,1,0,1,0,0,1,1,0,2,0,0,6,3,0,1,3
District0X,,,,,,,,,,,,,,,,3,4
Divi,0,1,0,1,1,0,1,0,1,3,2,2,13,0,0,1,NA
Doc Coin,,,,,,,,,,,,,,,,3,3
Docademic,,,,,,,,,,,,,,,,3,4
DOVU,,,,,,,,,,,,,,,,3,4
DreamTeam,,,,,,,,,,,,,,,,3,3
DS PLUS,0,1,0,1,1,0,0,0,0,3,1,1,8,5,1,1,3
e-Chat ICO,,,,,,,,,,,,,,,,3,4
EBCoin,,,,,,,,,,,,,,,,1,2
Ecobit,,,,,,,,,,,,,,,,1,NA
eGold,,,,,,,,,,,,,,,,1,4
EncrypGen,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4
EncryptoTel [WAVES],1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,4
Equitybase,,,,,,,,,,,,,,,,2,2
ERISTICA,,,,,,,,,,,,,,,,3,3
Esports,,,,,,,,,,,,,,,,3,4
ESR Wallet,,,,,,,,,,,,,,,,1,2
Ethbet,,,,,,,,,,,,,,,,3,3
Ethbits,,,,,,,,,,,,,,,,3,2
Etheera,,,,,,,,,,,,,,,,2,3
Ethereum.link,,,,,,,,,,,,,,,,2,3
Etherflyer,0,1,2,1,0,1,0,1,0,3,1,1,6,2,0,3,2
Ethersportz,0,1,0,1,1,0,0,1,0,3,2,0,6,7,1,3,4
Ethorse,,,,,,,,,,,,,,,,3,3
Eticket4,,,,,,,,,,,,,,,,3,3
Experty,,,,,,,,,,,,,,,,3,4
Exscudo,,,,,,,,,,,,,,,,3,2
Fabric Token Ecosystem,0,1,1,1,1,1,0,0,0,4,1,1,9,0,0,0,3
FidentiaX,0,1,0,1,0,0,1,1,0,3,2,0,8,0,0,3,2
FirstBlood,0,1,0,0,1,0,0,1,0,3,2,0,4,3,1,3,3
Flixxo,,,,,,,,,,,,,,,,3,4
Foodcoin,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,3,3
Footballcoin,,,,,,,,,,,,,,,,NA,NA
Fund Platform,0,1,0,1,1,1,1,0,0,3,0,0,9,5,0,1,2
FundRequest,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,3,3
FundYourselfNow,,,,,,,,,,,,,,,,3,2
Game Machine,0,1,1,1,1,0,0,1,0,3,1,1,9,0,0,1,3
Gamecoin,,,,,,,,,,,,,,,,3,3
GazeCoin,,,,,,,,,,,,,,,,3,4
Genesis Vision,,,,,,,,,,,,,,,,3,2
Genie ICO,,,,,,,,,,,,,,,,1,2
GIFcoin,,,,,,,,,,,,,,,,3,3
Gimli,,,,,,,,,,,,,,,,3,4
Gimmer,,,,,,,,,,,,,,,,3,2
Global Jobcoin,0,1,0,1,1,0,0,0,0,3,1,1,10,0,0,1,2
Goal Bonanza,,,,,,,,,,,,,,,,3,3
Goldmint,,,,,,,,,,,,,,,,2,2
Golem,0,0,1,1,1,0,0,0,0,3,2,1,12,0,0,3,3
Graft,,,,,,,,,,,,,,,,1,2
GUTS Tickets,,,,,,,,,,,,,,,,3,3
Hacken,0,1,0,1,0,0,0,1,1,3,2,0,0,0,0,3,3
Hellogold,,,,,,,,,,,,,,,,1,2
Hero,,,,,,,,,,,,,,,,NA,2
Hicky,,,,,,,,,,,,,,,,3,3
Hive Project,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Hubii Network,,,,,,,,,,,,,,,,3,4
Humaniq,,,,,,,,,,,,,,,,1,2
HydroMiner,,,,,,,,,,,,,,,,NA,NA
Iconiq Lab,,,,,,,,,,,,,,,,0,3
iDice,,,,,,,,,,,,,,,,3,3
Ignite Ratings,,,,,,,,,,,,,,,,3,4
Impak,0,0,2,1,1,1,1,1,0,3,1,1,8,6,0,1,NA
Indicoin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
Indorse Token,,,,,,,,,,,,,,,,3,4
Insurex,0,0,0,1,1,0,0,0,0,3,1,1,0,4,1,3,3
Internet of Coins,,,,,,,,,,,,,,,,1,2
Investfeed,0,1,0,1,1,0,0,1,0,3,1,1,5,7,1,1,2
IP Exchange,0,1,0,1,1,0,0,1,0,2,0,0,2,0,0,3,3
IQeon,,,,,,,,,,,,,,,,3,3
ititaniumcoin,,,,,,,,,,,,,,,,1,3
ITT,,,,,,,,,,,,,,,,1,2
iXledger,,,,,,,,,,,,,,,,3,2
Joint Ventures,0,1,0,1,1,1,1,1,0,3,1,1,11,5,0,3,4
JOYSO,,,,,,,,,,,,,,,,3,2
Jury.online,,,,,,,,,,,,,,,,3,3
KexCoin,,,,,,,,,,,,,,,,2,3
Kibo,,,,,,,,,,,,,,,,3,3
Komodo,,,,,,,,,,,,,,,,1,NA
LikeCoin,0,1,1,1,1,1,0,0,0,3,2,0,11,4,1,3,4
Lisk,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Litra,,,,,,,,,,,,,,,,3,4
Live Stars,,,,,,,,,,,,,,,,3,4
LOCIcoin,,,,,,,,,,,,,,,,3,1
Loki,,,,,,,,,,,,,,,,3,4
Lordmancer 2,,,,,,,,,,,,,,,,3,3
LoyalCoin,,,,,,,,,,,,,,,,3,NA
Lucyd,,,,,,,,,,,,,,,,1,3
Lunes Platform,0,1,0,1,1,0,0,1,0,2,0,0,15,0,0,1,2
Lunyr,0,2,1,1,1,1,0,1,1,3,2,2,4,2,1,3,4
LWF,0,1,1,1,1,0,0,1,0,3,2,0,24,0,0,3,4
Lykke,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2
MAD Network,,,,,,,,,,,,,,,,3,4
Marginless,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,3,3
Mark Space,,,,,,,,,,,,,,,,3,3
MASS,,,,,,,,,,,,,,,,1,NA
Matchpool,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3
Matryx,,,,,,,,,,,,,,,,3, NA
MAVRO,,,,,,,,,,,,,,,,1,2
Measurable Data Token,,,,,,,,,,,,,,,,3,4
Media Network Token,,,,,,,,,,,,,,,,3,4
MeeTip,0,1,0,0,0,0,0,0,0,3,2,0,5,0,0,3,3
MEGA X,0,0,0,1,1,0,0,1,0,2,0,0,8,7,0,3,4
Melon,,,,,,,,,,,,,,,,2,2
Metal,,,,,,,,,,,,,,,,1,2
MindSports,,,,,,,,,,,,,,,,3,3
Mingo,,,,,,,,,,,,,,,,1,NA
Miniapps,0,1,0,1,1,0,1,1,0,3,2,2,7,8,1,3,3
Mira,,,,,,,,,,,,,,,,3,2
Mirocana,1,1,0,1,1,0,0,1,0,2,0,0,8,0,0,3,2
MOBILINK-COIN,,,,,,,,,,,,,,,,3,4
Monster Byte,,,,,,,,,,,,,,,,3,3
Money Rebel,0,1,0,1,1,0,0,0,0,3,2,1,11,4,0,,
Moria,,,,,,,,,,,,,,,,1,3
Mothership,,,,,,,,,,,,,,,,1,2
MVLchain,,,,,,,,,,,,,,,,1,3
MyBit Token,,,,,,,,,,,,,,,,2,3
MyWish,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,3,NA
Native Video Box,,,,,,,,,,,,,,,,3,4
NAU,,,,,,,,,,,,,,,,3,3
Neblio,,,,,,,,,,,,,,,,0,NA
Nebula AI,,,,,,,,,,,,,,,,0,3
NEO,,,,,,,,,,,,,,,,3,1
NEXT.exchange,0,0,0,1,0,0,0,0,0,3,1,0,4,0,0,3,2
Nitro,,,,,,,,,,,,,,,,3,3
NVO,,,,,,,,,,,,,,,,3,2
Obsidian,,,,,,,,,,,,,,,,1,NA
ODEM,,,,,,,,,,,,,,,,3,3
ONZ Coin,,,,,,,,,,,,,,,,3,4
Opus,0,2,2,1,1,0,0,1,1,1,0,0,0,0,0,3,4
Orozu,,,,,,,,,,,,,,,,1,2
Oxycoin,,,,,,,,,,,,,,,,3,2
Pally,,,,,,,,,,,,,,,,1,2
Paragon,0,1,1,1,1,0,0,1,0,3,1,2,12,13,1,1,4
Patientory,,,,,,,,,,,,,,,,3,4
PayPro,,,,,,,,,,,,,,,,1,2
PCC,,,,,,,,,,,,,,,,3,NA
Peur,0,0,0,1,1,1,1,1,1,2,0,0,10,4,0,1,3
Pikcio Chain,,,,,,,,,,,,,,,,3,1
Plancoin,,,,,,,,,,,,,,,,1,2
PlusCoin,,,,,,,,,,,,,,,,1,2
Plutus,,,,,,,,,,,,,,,,1,2
Pointium,,,,,,,,,,,,,,,,3,3
Ponder,,,,,,,,,,,,,,,,3,3
Primalbase Token,,,,,,,,,,,,,,,,3,3
Privatix,,,,,,,,,,,,,,,,3,3
Proof Suite,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2
Protos,,,,,,,,,,,,,,,,2,2
Prover,,,,,,,,,,,,,,,,3,1
Publica,0,1,0,0,0,0,0,1,0,2,0,0,3,5,0,3,4
Qchain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Quantum Resistant Ledger,,,,,,,,,,,,,,,,1,NA
QUANTUM,,,,,,,,,,,,,,,,NA,2
Quantum1Net,,,,,,,,,,,,,,,,1,NA
Qvolta,,,,,,,,,,,,,,,,3,2
Raison,,,,,,,,,,,,,,,,3,2
Rasputin,,,,,,,,,,,,,,,,3,4
Realisto,,,,,,,,,,,,,,,,2,2
Reality Clash,,,,,,,,,,,,,,,,3,3
Render,,,,,,,,,,,,,,,,1,3
Rex,,,,,,,,,,,,,,,,3,4
RoboAdvisorCoin,,,,,,,,,,,,,,,,3,3
Rotharium,,,,,,,,,,,,,,,,0,3
Sand Coin,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3
SCORUM,,,,,,,,,,,,,,,,3,4
Scrinium,,,,,,,,,,,,,,,,3,2
Sharpay,,,,,,,,,,,,,,,,3,NA
Sharpe Capital,0,1,1,1,0,1,1,0,0,3,1,1,5,6,1,3,2
Shping,,,,,,,,,,,,,,,,3,4
Signals,,,,,,,,,,,,,,,,3,2
SingularDTV,,,,,,,,,,,,,,,,3,4
Sint,,,,,,,,,,,,,,,,1,2
Skara,,,,,,,,,,,,,,,,3,4
Skincoin,,,,,,,,,,,,,,,,3,3
Smart Investment Fund,,,,,,,,,,,,,,,,3,2
Smartbillions,,,,,,,,,,,,,,,,3,3
Smartlands,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2
SmartOne,0,1,1,1,1,0,1,1,0,3,1,1,11,2,1,0,3
Snip,,,,,,,,,,,,,,,,3,4
Snovio,,,,,,,,,,,,,,,,3,4
Sociall,,,,,,,,,,,,,,,,3,3
SocialMedia Market,,,,,,,,,,,,,,,,3,4
Sola,,,,,,,,,,,,,,,,3,4
Soma,0,1,1,0,0,0,0,0,0,2,0,0,10,4,0,1,3
Sp8de,0,2,1,1,1,0,1,1,0,3,2,2,6,12,1,3,3
Spankchain,,,,,,,,,,,,,,,,3,4
Spectiv,,,,,,,,,,,,,,,,3,4
SportyCo,,,,,,,,,,,,,,,,3,3
SportyFi,0,1,0,1,1,0,0,1,1,3,1,2,10,12,1,3,3
SRCOIN,,,,,,,,,,,,,,,,1,3
SRG,,,,,,,,,,,,,,,,3,3
Starta,,,,,,,,,,,,,,,,3,2
StarterCoin,,,,,,,,,,,,,,,,0,2
STeX,,,,,,,,,,,,,,,,3,2
StockChain,,,,,,,,,,,,,,,,3,2
SunContract,,,,,,,,,,,,,,,,3,3
SunMoney,,,,,,,,,,,,,,,,2,3
Suretly,,,,,,,,,,,,,,,,3,2
Swarm,,,,,,,,,,,,,,,,2,3
Swicheo,,,,,,,,,,,,,,,,3,2
SyncFab,,,,,,,,,,,,,,,,3,4
Synereo,,,,,,,,,,,,,,,,3,3
TaaS,,,,,,,,,,,,,,,,2,2
Take Profit,,,,,,,,,,,,,,,,3,4
Taklimakan Network,,,,,,,,,,,,,,,,3,3
Tap Project,0,1,1,1,1,0,1,1,0,3,1,0,4,0,0,3,3
Taylor,0,1,0,1,1,0,1,1,0,3,1,1,10,9,1,3,2
Tele2 Teleport,,,,,,,,,,,,,,,,3,3
TEND,,,,,,,,,,,,,,,,3,2
Ties Network,,,,,,,,,,,,,,,,3,4
Tokenbox,,,,,,,,,,,,,,,,3,2
TokenLend,0,0,0,1,1,1,0,0,0,3,1,1,6,4,0,3,2
TokenStars,,,,,,,,,,,,,,,,3,4
TomoChain,,,,,,,,,,,,,,,,0,NA
TravelChain,,,,,,,,,,,,,,,,3,4
Trueflip,,,,,,,,,,,,,,,,3,3
Truegame,,,,,,,,,,,,,,,,3,3
uKit,,,,,,,,,,,,,,,,3,3
vDice,,,,,,,,,,,,,,,,3,3
Velix.ID,,,,,,,,,,,,,,,,3,1
Verify,,,,,,,,,,,,,,,,3,1
Vestarin,,,,,,,,,,,,,,,,NA,NA
VEVUE,,,,,,,,,,,,,,,,3,4
Vezt,,,,,,,,,,,,,,,,3,3
VIBE,,,,,,,,,,,,,,,,3,NA
VinChain,,,,,,,,,,,,,,,,3,4
Wala,,,,,,,,,,,,,,,,1,2
WandX,,,,,,,,,,,,,,,,3,2
WeTrust,0,0,1,1,0,0,1,1,0,3,2,2,11,6,1,3,2
Wings,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4
Wolk,,,,,,,,,,,,,,,,3,4
Worldcore,,,,,,,,,,,,,,,,1,2
X8 Project,,,,,,,,,,,,,,,,1,2
Xwin CryptoBet,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3
Zap,,,,,,,,,,,,,,,,0,NA
Zebi,,,,,,,,,,,,,,,,3,4
Zipper,,,,,,,,,,,,,,,,0,NA
ZrCoin,,,,,,,,,,,,,,,,NA,NA
nonmil,,,,,,,,,,,,,,,,,
3DES,,,,,,,,,,,,,,,,3,3
7ype,,,,,,,,,,,,,,,,2,2
8 Circuit Studios,,,,,,,,,,,,,,,,0,3
2100NEWS ICO,0,1,0,1,1,0,0,0,0,3,1,1,17,9,0,3,4
AdSigma,,,,,,,,,,,,,,,,3,4
Agora,,,,,,,,,,,,,,,,3,4
AIREXE,0,1,0,1,0,0,0,0,0,3,1,1,25,6,1,3,2
Akaiito,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
Algory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2
Alpencoin,,,,,,,,,,,,,,,,3,2
Angel Token,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
Apptrade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
ArbitrageCT,,,,,,,,,,,,,,,,3,2
Ark,,,,,,,,,,,,,,,,0,3
Arker,,,,,,,,,,,,,,,,3,3
ARNA Panacea,,,,,,,,,,,,,,,,3,4
Assetron Energy,,,,,,,,,,,,,,,,,
Autonio,,,,,,,,,,,,,,,,,
Avalon,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,,
Back to Earth,,,,,,,,,,,,,,,,,
Battle of Titans,,,,,,,,,,,,,,,,,
Becksang,,,,,,,,,,,,,,,,,
BET Network,,,,,,,,,,,,,,,,,
Billionaire Token,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,,
Billpoker,,,,,,,,,,,,,,,,,
Bitcrystals,,,,,,,,,,,,,,,,,
Bitpark Coin,,,,,,,,,,,,,,,,,
BlockCDN,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,
blocksquare.io,,,,,,,,,,,,,,,,,
Blok,,,,,,,,,,,,,,,,,
Bolenum,,,,,,,,,,,,,,,,,
Bowhead,,,,,,,,,,,,,,,,,
burstIQ,,,,,,,,,,,,,,,,,
Cash Poker Pro,0,1,0,1,0,0,0,1,1,2,0,0,12,0,0,,
Christ Coins,,,,,,,,,,,,,,,,,
Circles,0,1,0,1,1,0,0,0,0,3,1,0,7,0,0,,
Coinloan,,,,,,,,,,,,,,,,,
CoinPlace,,,,,,,,,,,,,,,,,
Contingency,,,,,,,,,,,,,,,,,
Crazy Shapes,,,,,,,,,,,,,,,,,
Creativecoin,,,,,,,,,,,,,,,,,
Cryptoforecast,,,,,,,,,,,,,,,,,
CryptoTask,,,,,,,,,,,,,,,,,
Cryptum,,,,,,,,,,,,,,,,,
Customizable Basic Income,,,,,,,,,,,,,,,,,
Darcrus,,,,,,,,,,,,,,,,,
Darenta,0,1,0,1,0,0,0,1,0,3,1,2,14,9,1,,
Databroker DAO,,,,,,,,,,,,,,,,,
Delphi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Dentacoin,,,,,,,,,,,,,,,,,
DES,,,,,,,,,,,,,,,,,
Digi Token,,,,,,,,,,,,,,,,,
DisLedger,,,,,,,,,,,,,,,,,
Doft,0,1,0,1,1,0,1,0,0,3,1,0,3,3,0,,
Dogezer,,,,,,,,,,,,,,,,,
Dolphin BI,,,,,,,,,,,,,,,,,
E4ROW,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,,
eGaaS,,,,,,,,,,,,,,,,,
Eloplay,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
EMU,,,,,,,,,,,,,,,,,
EnLedger,,,,,,,,,,,,,,,,,
Epocum,,,,,,,,,,,,,,,,,
Equibit,,,,,,,,,,,,,,,,,
ETCH,,,,,,,,,,,,,,,,,
Ethearnal,,,,,,,,,,,,,,,,,
Etheriya,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ethernal Heroes,,,,,,,,,,,,,,,,,
Etheroll,,,,,,,,,,,,,,,,,
EtherSport,,,,,,,,,,,,,,,,,
Ethino,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,,
eWaiter,,,,,,,,,,,,,,,,,
Extra Credit,,,,,,,,,,,,,,,,,
FAPCoin,,,,,,,,,,,,,,,,,
Farad,,,,,,,,,,,,,,,,,
Fidcom,,,,,,,,,,,,,,,,,
FinTab,,,,,,,,,,,,,,,,,
Fluence,,,,,,,,,,,,,,,,,
Follow Coin,,,,,,,,,,,,,,,,,
Fortitude Ranch,,,,,,,,,,,,,,,,,
Fox Trading,,,,,,,,,,,,,,,,,
FTB,,,,,,,,,,,,,,,,,
Genevieve,,,,,,,,,,,,,,,,,
Gilgam,,,,,,,,,,,,,,,,,
Gilgames,,,,,,,,,,,,,,,,,
Gluon,0,1,0,0,0,0,0,0,0,3,1,2,9,9,1,,
Godzillion,,,,,,,,,,,,,,,,,
GoHelpFund,,,,,,,,,,,,,,,,,
Golden Fleece,,,,,,,,,,,,,,,,,
Golos,,,,,,,,,,,,,,,,,
Health Monitor,,,,,,,,,,,,,,,,,
Hirematch,,,,,,,,,,,,,,,,,
Horizon State,0,1,0,1,1,0,1,0,0,3,1,0,5,6,0,,
Hunt Bet,,,,,,,,,,,,,,,,,
Iconic Ecosystem,0,0,0,1,1,0,0,1,0,3,1,0,3,9,1,,
Integrative Wallet,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,
Internxt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Iota,,,,,,,,,,,,,,,,,
Javvy Crypto Solution,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,,
Jincor,,,,,,,,,,,,,,,,,
Just Dating Site,,,,,,,,,,,,,,,,,
Kapu,,,,,,,,,,,,,,,,,
KWHCoin,,,,,,,,,,,,,,,,,
Last Will,,,,,,,,,,,,,,,,,
LevelNet,,,,,,,,,,,,,,,,,
LeviarCoin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Life Change,,,,,,,,,,,,,,,,,
Litecoin Cash,,,,,,,,,,,,,,,,,
LiveTree ADEPT,,,,,,,,,,,,,,,,,
Lookrev,,,,,,,,,,,,,,,,,
Luxcoin,,,,,,,,,,,,,,,,,
Macroverse,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,,
MakeItViral,,,,,,,,,,,,,,,,,
Mass coin,,,,,,,,,,,,,,,,,
MDK,0,1,0,1,0,0,0,0,0,3,1,1,7,0,0,,
MediBond,,,,,,,,,,,,,,,,,
Memessenger,,,,,,,,,,,,,,,,,
Mill of Blood,,,,,,,,,,,,,,,,,
Minex,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,
Minexcoin,,,,,,,,,,,,,,,,,
Misscoin,0,0,0,1,1,0,0,0,0,3,1,1,6,1,0,,
MITO,,,,,,,,,,,,,,,,,
Mondo,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,
Multibot,,,,,,,,,,,,,,,,,
Nametoken,,,,,,,,,,,,,,,,,
Nimfamoney,0,0,0,1,1,0,0,0,0,3,1,0,4,0,0,,
Ninth Wonder,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Nocta,,,,,,,,,,,,,,,,,
Noxbox,,,,,,,,,,,,,,,,,
ODMC,,,,,,,,,,,,,,,,,
Origami Network,0,0,0,1,1,1,0,0,0,3,1,1,3,0,0,,
Papyrus,,,,,,,,,,,,,,,,,
Paquarium,0,0,0,0,0,0,0,0,0,3,1,1,11,0,0,,
Particl,,,,,,,,,,,,,,,,,
Payfair,,,,,,,,,,,,,,,,,
Peerguess,,,,,,,,,,,,,,,,,
Peerplays,,,,,,,,,,,,,,,,,
Peoplewave,,,,,,,,,,,,,,,,,
Pixiu,,,,,,,,,,,,,,,,,
PokerSports,,,,,,,,,,,,,,,,,
Procommerce,,,,,,,,,,,,,,,,,
PROPX,,,,,,,,,,,,,,,,,
Prospectors Gold,,,,,,,,,,,,,,,,,
Pylon,,,,,,,,,,,,,,,,,
Rakugo,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,
Rega,0,1,1,1,0,0,0,1,0,3,1,1,5,3,0,,
Render Payment,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
Riptide Coin,,,,,,,,,,,,,,,,,
Robot Vera,,,,,,,,,,,,,,,,,
Rockchain,,,,,,,,,,,,,,,,,
Rocket ICO,0,1,0,1,0,0,0,0,1,2,0,0,18,0,0,,
Royal Kingdom Coin,,,,,,,,,,,,,,,,,
Rpay,,,,,,,,,,,,,,,,,
Rustbits,,,,,,,,,,,,,,,,,
RxEAL,,,,,,,,,,,,,,,,,
S3ntigraph,,,,,,,,,,,,,,,,,
Sahara Chain,,,,,,,,,,,,,,,,,
Scorista,,,,,,,,,,,,,,,,,
Shard,,,,,,,,,,,,,,,,,
ShineCoin,,,,,,,,,,,,,,,,,
Smoke Exchange,,,,,,,,,,,,,,,,,
Smoke,,,,,,,,,,,,,,,,,
Solar DAO,0,0,0,1,1,0,0,0,0,3,0,0,3,0,0,,
Sosnovkino,,,,,,,,,,,,,,,,,
Spectrecoin,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,
Spheris,,,,,,,,,,,,,,,,,
Stash,,,,,,,,,,,,,,,,,
Stratis,,,,,,,,,,,,,,,,,
Stuffgogo,1,1,0,0,0,0,0,0,0,3,0,0,3,0,0,,
Synchrolife,,,,,,,,,,,,,,,,,
Synexcoin,,,,,,,,,,,,,,,,,
Tensor Box,0,1,0,1,1,0,0,1,1,3,0,0,4,0,0,,
Tensorbit,,,,,,,,,,,,,,,,,
Tigereum,,,,,,,,,,,,,,,,,
Tokes,,,,,,,,,,,,,,,,,
Trackr,,,,,,,,,,,,,,,,,
Transmission,1,0,0,0,0,0,0,0,0,3,2,0,6,3,1,,
Triforce Tokens,,,,,,,,,,,,,,,,,
TripAlly,,,,,,,,,,,,,,,,,
Unicoin,,,,,,,,,,,,,,,,,
Unit Fund,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,
Upfiring,,,,,,,,,,,,,,,,,
Vacuum,,,,,,,,,,,,,,,,,
Vega Intelligent Solutions,,,,,,,,,,,,,,,,,
Voise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Vote Coin,,,,,,,,,,,,,,,,,
Webcoin,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,
Whyral,,,,,,,,,,,,,,,,,
Wild Crypto,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,,
Wu Tang Coin,,,,,,,,,,,,,,,,,
Xronos,,,,,,,,,,,,,,,,,
Zenome,,,,,,,,,,,,,,,,,
Zloadr,,,,,,,,,,,,,,,,,
Equi,0,1,0,1,1,0,0,0,0,3,1,0,2,0,0,,
nondata,,,,,,,,,,,,,,,,,
1World,0,1,1,1,1,0,0,1,0,3,1,2,29,0,0,,
AdPump,0,1,0,1,1,0,0,0,0,3,0,0,2,3,0,,
Agrivita,0,1,0,1,0,0,0,1,0,3,0,0,6,0,0,,
Anacoin,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,,
BactoAlarm,0,0,0,1,0,0,0,1,0,2,0,0,9,0,0,,
Blocksale,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,,
Bopti,0,1,0,1,1,0,0,0,0,3,1,1,6,5,1,,
BTRiC,0,0,1,0,0,0,0,1,1,3,1,0,3,0,0,,
CamOnRoad,0,1,0,0,1,0,0,0,0,3,2,0,8,0,0,,
CorCom,0,1,1,1,0,0,0,0,0,3,0,1,9,5,0,,
Dream Token,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Etcetera,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,,
ETH Lottery,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,,
Futourist,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,,
Gainz Token,0,1,0,1,1,0,0,1,0,3,2,0,0,0,0,,
Gas,0,0,0,1,1,0,0,0,0,3,2,1,7,3,1,,
Gems,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
Gilgamesh Platform,0,1,0,1,1,1,1,0,0,3,1,0,0,0,0,,
Hashtoken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Imperium,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,,
Interest Coin,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,
KredX,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
LendingStar Exchange,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Live Show,0,1,0,1,1,0,0,0,0,3,2,2,5,0,0,,
LucisDollar,1,1,1,1,1,0,0,1,0,3,1,0,2,8,0,,
Lust,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Lytictail,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,,
